suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage,run_label,quick_mode,compute_device,device_name,torch_version,torch_cuda_version,run_complete
optimizer_training,movielens_100k,dnn,adam,0.4634293657304471,0.46225129963418776,0.46225392811992055,0.46131607407033526,0.4840069101734589,0.47842181292885516,0.3267345666885376,True,42,5.0011275839060545,2248.625,20.96484375,1037.9,98.21638418079101,0.28999999999999915,0.07999999999999996,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,sgd,0.5302685214598337,0.529404848484826,0.5198663536210945,0.48935937671383933,0.49709136267363363,0.49286746117732033,0.6931360363960266,True,42,0.34870809596031904,2273.609375,20.79541015625,1136.4,99.8621468926554,0.16999999999999993,0.010000000000000009,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,pso,0.47947522909649887,0.4886286265929186,0.48735777496839444,0.5128090355990803,0.5088348210027258,0.5112856626941134,,True,42,0.30965562304481864,2313.00390625,20.60888671875,906.3,712.7954545454546,0.8399999999999999,0.0,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,evolutionary,0.5287017062127473,0.5281005187990855,0.5013545241105292,0.4873994944283958,0.4956225288808485,0.49945828819068255,,True,42,2.3087558958213776,2317.60546875,20.60888671875,927.3,696.5749999999998,16.7,0.020000000000000018,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,adam,0.43682313954796487,0.4503028747227008,0.45846126061043885,0.44923642893558813,0.48265352813481266,0.47553268327916215,0.32861857414245604,True,123,0.18380138091742992,2317.81640625,20.96484375,1926.9,257.343502824859,0.4800000000000004,0.0,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,sgd,0.5006719535536936,0.5041260078897994,0.5,0.5021790254821705,0.5016456524204416,0.5,0.6932495951652526,True,123,0.16693107318133116,2317.81640625,20.79541015625,1129.7,95.5406779661017,0.16000000000000014,0.0,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,pso,0.5039634039240639,0.5022959308351744,0.5073144301968575,0.5293579172807958,0.5265506003798672,0.5234741784037559,,True,123,0.10532207903452218,2317.81640625,20.60888671875,912.7,730.5590909090909,0.7799999999999976,0.0,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,evolutionary,0.5327217667710895,0.5299392391456126,0.5108361928842333,0.5016770763760829,0.5122154634961573,0.5062296858071506,,True,123,2.2332903349306434,2318.0703125,20.60888671875,800.0,695.9450000000002,16.27,0.020000000000000018,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,adam,0.45545090803754096,0.4569179353158483,0.46008668954307386,0.44075404497062287,0.48210374582655513,0.4775189599133261,0.30215537548065186,True,456,0.18819201015867293,2318.0703125,20.96484375,1560.0,240.8548022598871,0.4799999999999969,0.0,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,sgd,0.4783362578746443,0.4820544034199098,0.5005418096442117,0.5073163536971848,0.508519208206283,0.5002708559046587,0.6932925045490265,True,456,0.16584789101034403,2318.0703125,20.79541015625,1134.4,101.80960451977401,0.1599999999999966,0.010000000000000009,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,pso,0.5342873588611319,0.5343749059762565,0.5126422250316056,0.500969678485205,0.5083950478604811,0.5050559768869628,,True,456,0.10611820500344038,2318.0703125,20.60888671875,898.4,730.3090909090911,0.7900000000000063,0.0,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,evolutionary,0.4772177215298048,0.4809410071062861,0.5,0.5070743701776921,0.5091483346357357,0.5,,True,456,2.099718593992293,2318.0703125,20.60888671875,791.4,699.84,15.469999999999999,0.020000000000000018,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,adam,0.4752607518032026,0.4695500954296555,0.46387935705255556,0.4680100004421339,0.4910219051405797,0.4815817984832069,0.3090664863586426,True,789,0.19484877912327647,2318.09375,20.96484375,1745.6,266.893220338983,0.5399999999999991,0.0,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,sgd,0.5057357747895852,0.4997305866413499,0.5,0.5348719885499065,0.523276475023979,0.5,0.6932821333408355,True,789,0.16577920597046614,2318.09375,20.79541015625,1139.8,101.58870056497172,0.1599999999999966,0.010000000000000009,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,pso,0.489357783514185,0.5014708643010445,0.49864547588947084,0.5427892334794202,0.5363190114149367,0.5258215962441315,,True,789,0.1055891860742122,2318.09375,20.60888671875,899.3,742.1909090909093,0.7899999999999991,0.0,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,evolutionary,0.500312883571856,0.4955708482568333,0.5,0.5322747781146603,0.5211199899217036,0.5,,True,789,1.9435267839580774,2318.23046875,20.60888671875,802.1,694.2049999999999,14.240000000000002,0.019999999999999907,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,adam,0.43564824012653774,0.44959883990099475,0.461441213653603,0.4362937097914132,0.4816542898737718,0.47688696280245574,0.3234331876039505,True,2026,0.1968311599921435,2318.25,20.96484375,1803.9,279.9282485875706,0.5200000000000102,0.010000000000000009,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,sgd,0.4971894623618106,0.4917552667786975,0.4937691890915658,0.4590718534056242,0.48717608887772335,0.499006861682918,0.6931828916072845,True,2026,0.16618114989250898,2318.25,20.79541015625,1130.5,100.11412429378524,0.1599999999999966,0.0,,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,pso,0.5021024764885568,0.4941135109835647,0.5033411594726386,0.467689485991334,0.4659826648541703,0.4804080895630191,,True,2026,0.10561339906416833,2318.25,20.60888671875,906.5,728.2818181818183,0.7800000000000011,0.0,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
optimizer_training,movielens_100k,dnn,evolutionary,0.49687907403032433,0.4915799293357429,0.5,0.457262593348611,0.4855427582053514,0.5,,True,2026,1.8161186729557812,2318.25,20.60888671875,834.4,716.81,13.689999999999998,0.020000000000000018,Population-based training on the same neural recommender.,,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,movielens_100k,dnn,grid_search,0.7119302889204576,0.6663114595521031,0.6443019685750406,,,,0.6803331434726715,False,42,0.07155345194041729,2318.25,20.96484375,1721.7,324.48870967741937,0.23999999999999488,0.0,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,movielens_100k,dnn,grid_search,0.6169917584330726,0.5819574402309063,0.5151706700379267,,,,0.6824888348579407,False,123,0.06656802608631551,2318.25,20.96484375,1048.7,94.2741935483871,0.060000000000002274,0.0,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,movielens_100k,dnn,grid_search,0.6184129527568802,0.5713932089397982,0.5210402745168864,,,,0.6793264269828796,False,456,0.0628435651306063,2318.25,20.96484375,1052.7,85.5032258064516,0.060000000000002274,0.0,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
hyperparameter_search,movielens_100k,dnn,grid_search,0.6693101645426734,0.6248341532061013,0.5224851002347842,,,,0.6828714787960053,False,789,0.0624883770942688,2318.25,20.96484375,1053.1,98.53870967741932,0.060000000000002274,0.0,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search,full_rtx_pro_6000,False,cuda,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.11.0+cu130,13.0,True
