suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage
hyperparameter_search,movielens_100k,dnn,grid_search,0.5758251249999999,0.5317930780761054,0.492,,,,0.6813749074935913,False,123,0.2754417998949066,682.45703125,0.0,0.0,0.0,0.40625,0.4375,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.601719875,0.5616626821142762,0.52725,,,,0.6745861232280731,False,456,0.24456629995256662,682.45703125,0.0,97.7,1.5758064516129031,0.375,0.390625,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64221034375,0.587484601358135,0.609,,,,0.6735888361930847,False,789,0.24712990003172308,682.45703125,0.0,0.0,0.0,0.28125,0.5625,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.57965221875,0.5330595218893452,0.489625,,,,0.6744434654712677,False,2026,0.2436458000447601,682.45703125,0.0,0.0,0.0,0.34375,0.453125,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5706069375,0.530125760146126,0.48275,,,,0.2874919593334198,False,42,0.24374790000729263,682.45703125,0.0,390.6,6.300000000000001,0.390625,0.5,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5556167812499999,0.5234896748510381,0.48875,,,,0.30168649554252625,False,123,0.2413250000681728,682.45703125,0.0,0.0,0.0,0.421875,0.546875,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.55018625,0.5163287071113076,0.480875,,,,0.29786035418510437,False,456,0.24168920004740357,682.45703125,0.0,0.0,0.0,0.34375,0.46875,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5319345,0.5109827310621652,0.484375,,,,0.2920899659395218,False,789,0.2413278000894934,682.45703125,0.0,0.0,0.0,0.3125,0.484375,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5547245,0.5192162320530502,0.484375,,,,0.28694863617420197,False,2026,0.24492369999643415,682.45703125,0.0,416.7,6.720967741935484,0.390625,0.46875,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6692567812500001,0.6205401650753015,0.62825,,,,0.6824342012405396,False,42,0.28316170000471175,682.45703125,0.0,195.3,3.15,0.3125,0.640625,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5448200624999999,0.5119469321955974,0.490625,,,,0.6838391661643982,False,123,0.27019680000375956,682.45703125,0.0,97.7,1.5758064516129033,0.375,0.59375,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5944010937499999,0.5589633719686726,0.526625,,,,0.6776450753211976,False,456,0.26643129996955395,682.45703125,0.0,0.0,0.0,0.328125,0.5625,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.65529025,0.604868775077233,0.62,,,,0.6791334807872772,False,789,0.2673140000551939,682.45703125,0.0,97.7,3.151612903225806,0.46875,0.484375,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5731275312499999,0.5289144092286656,0.488125,,,,0.6783665418624878,False,2026,0.2640629999805242,682.45703125,0.0,97.7,1.575806451612903,0.34375,0.515625,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.55447025,0.5198853849029161,0.480125,,,,0.30189467072486875,False,42,0.27423690003342927,682.45703125,0.0,488.3,7.875806451612904,0.4375,0.53125,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.529059375,0.5086614800492042,0.481375,,,,0.3114390403032303,False,123,0.27304340002592653,682.45703125,0.0,312.5,5.040322580645162,0.4375,0.484375,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.54988553125,0.5171868954893315,0.48125,,,,0.30807630717754364,False,456,0.2649212999967858,682.45703125,0.0,195.3,3.1500000000000004,0.453125,0.6875,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5420044374999999,0.5177124292212976,0.47975,,,,0.3031948506832123,False,789,0.26797660009469837,682.45703125,0.0,293.0,4.725806451612903,0.375,0.640625,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5345095625,0.5088075933808753,0.479875,,,,0.2984849810600281,False,2026,0.2664749000687152,682.45703125,0.0,0.0,0.0,0.4375,0.609375,"embedding_dim=16, hidden_dim=32, dropout=0.35, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.67253440625,0.6222274822627286,0.57775,,,,0.6658437848091125,False,42,0.280737700057216,685.19140625,0.0,416.7,8.296774193548387,0.359375,0.65625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.64255334375,0.5856685517702531,0.538375,,,,0.6523325026035309,False,123,0.2969240000238642,685.19140625,0.0,0.0,0.0,0.421875,0.6875,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.57035615625,0.5349712865366814,0.496,,,,0.6663676917552948,False,456,0.27637550001963973,685.19140625,0.0,0.0,0.0,0.453125,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.63203925,0.5817079187024877,0.54725,,,,0.6649475574493409,False,789,0.2659246999537572,685.19140625,0.0,416.7,6.720967741935484,0.40625,0.640625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.52565471875,0.5035964308638592,0.472875,,,,0.6548562109470367,False,2026,0.2697945999680087,685.19140625,0.0,0.0,0.0,0.34375,0.5,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.54228778125,0.5082217520832512,0.479125,,,,0.28372288346290586,False,42,0.27563700010068715,685.19140625,0.0,0.0,0.0,0.375,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5200700312500001,0.50248768352039,0.482875,,,,0.29223997294902804,False,123,0.2717279000207782,685.19140625,0.0,104.2,1.680645161290323,0.390625,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.52525975,0.5019474801503075,0.480125,,,,0.2984661400318146,False,456,0.26798759994562715,685.19140625,0.0,0.0,0.0,0.375,0.59375,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5143855625,0.49932094195350574,0.482375,,,,0.2901425242424011,False,789,0.27098120003938675,685.19140625,0.0,0.0,0.0,0.484375,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.48337534375,0.48152471986652456,0.48425,,,,0.2825846910476685,False,2026,0.26950090005993843,685.19140625,0.0,104.2,1.680645161290323,0.375,0.5625,"embedding_dim=16, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
